"surface","type","layerOrder","layerName","intendedRole","reducedMotionExpectation"
"Solo live room atmosphere","atmospheric","1","Background veil gradient","Atmospheric background for solo room and shared solo sync mode.","Switch to balanced/static quality; keep readability scrim and state labels."
"Solo live room atmosphere","atmospheric","2","Hero gradient","Atmospheric background for solo room and shared solo sync mode.","Switch to balanced/static quality; keep readability scrim and state labels."
"Solo live room atmosphere","atmospheric","3","Atmosphere art overlay (room.solo.overlay)","Atmospheric background for solo room and shared solo sync mode.","Switch to balanced/static quality; keep readability scrim and state labels."
"Solo live room atmosphere","atmospheric","4","SoloAuraField (core aura, veil, inner glow, sync overlay/host beacon)","Atmospheric background for solo room and shared solo sync mode.","Switch to balanced/static quality; keep readability scrim and state labels."
"Solo live room atmosphere","atmospheric","5","Readable script content layer","Atmospheric background for solo room and shared solo sync mode.","Switch to balanced/static quality; keep readability scrim and state labels."
"Solo live room atmosphere","atmospheric","6","Controls overlay","Atmospheric background for solo room and shared solo sync mode.","Switch to balanced/static quality; keep readability scrim and state labels."
"Event live room atmosphere","state-signaling","1","Background veil gradient","Collective energy field signaling waiting/live/ended states.","Disable pulse/orbit loops when reduced motion; preserve chip/state semantics."
"Event live room atmosphere","state-signaling","2","Hero gradient","Collective energy field signaling waiting/live/ended states.","Disable pulse/orbit loops when reduced motion; preserve chip/state semantics."
"Event live room atmosphere","state-signaling","3","Atmosphere art overlay (room.live.overlay)","Collective energy field signaling waiting/live/ended states.","Disable pulse/orbit loops when reduced motion; preserve chip/state semantics."
"Event live room atmosphere","state-signaling","4","CollectiveEnergyField (primary/secondary pulses, depth, orbit ring, nodes)","Collective energy field signaling waiting/live/ended states.","Disable pulse/orbit loops when reduced motion; preserve chip/state semantics."
"Event live room atmosphere","state-signaling","5","Live state chips and reminder banner","Collective energy field signaling waiting/live/ended states.","Disable pulse/orbit loops when reduced motion; preserve chip/state semantics."
"Event live room atmosphere","state-signaling","6","Script and controls overlay","Collective energy field signaling waiting/live/ended states.","Disable pulse/orbit loops when reduced motion; preserve chip/state semantics."
"Global Pulse globe","state-signaling","1","Mapbox globe or fallback animation layer","Global live-state map with inline and fullscreen interaction.","Fallback rendering or reduced pulse intensity while keeping data hierarchy and labels."
"Global Pulse globe","state-signaling","2","State pulse rings (live/waiting/upcoming/news)","Global live-state map with inline and fullscreen interaction.","Fallback rendering or reduced pulse intensity while keeping data hierarchy and labels."
"Global Pulse globe","state-signaling","3","Accent rings (ritual_1111 and flagship)","Global live-state map with inline and fullscreen interaction.","Fallback rendering or reduced pulse intensity while keeping data hierarchy and labels."
"Global Pulse globe","state-signaling","4","Legend chips and meta labels","Global live-state map with inline and fullscreen interaction.","Fallback rendering or reduced pulse intensity while keeping data hierarchy and labels."
"Global Pulse globe","state-signaling","5","Fullscreen top bar and selection preview card","Global live-state map with inline and fullscreen interaction.","Fallback rendering or reduced pulse intensity while keeping data hierarchy and labels."
"Global Pulse globe","state-signaling","6","Fullscreen spotlight list when nothing selected","Global live-state map with inline and fullscreen interaction.","Fallback rendering or reduced pulse intensity while keeping data hierarchy and labels."
"Hero and card transitions","decorative","1","Hero media","Introduce surfaces without changing semantics.","Settle instantly with opacity-only or no transition."
"Hero and card transitions","decorative","2","Title/subtitle","Introduce surfaces without changing semantics.","Settle instantly with opacity-only or no transition."
"Hero and card transitions","decorative","3","Metric and status chips","Introduce surfaces without changing semantics.","Settle instantly with opacity-only or no transition."
"Hero and card transitions","decorative","4","Staggered card rails","Introduce surfaces without changing semantics.","Settle instantly with opacity-only or no transition."
